Format Version,1.2,Take Name,Test_4_sx,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2025-02-27 02.30.37.659 PM,Total Frames,17747,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,
,,arm_elbow,arm_elbow,arm_elbow,arm_shoulder,arm_shoulder,arm_shoulder,arm_finger,arm_finger,arm_finger,arm_hand,arm_hand,arm_hand,arm_EE,arm_EE,arm_EE,
,,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000003,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,8392B20CF49E357145CE0C9500000000,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
40,0.333333,0.01163,0.287362,0.05369,-0.080209,0.562523,0.170885,0.342851,0.287643,0.28173,0.27975,0.357913,0.239442,0.320208,0.239649,0.30428,
41,0.341667,0.011492,0.287159,0.053493,-0.080057,0.562379,0.170788,0.342904,0.287417,0.281327,0.279704,0.357599,0.239085,0.320317,0.239468,0.303938,
42,0.35,0.011359,0.286962,0.053299,-0.079908,0.56224,0.170691,0.342962,0.287222,0.280943,0.279655,0.357301,0.238733,0.320421,0.239317,0.303623,
43,0.358333,0.011231,0.286771,0.053108,-0.079763,0.562106,0.170594,0.343026,0.28706,0.280574,0.279601,0.357021,0.238389,0.32052,0.239195,0.303336,
44,0.366667,0.011106,0.286586,0.052922,-0.079624,0.561977,0.170497,0.343098,0.286935,0.280212,0.279538,0.356764,0.238056,0.320617,0.239105,0.303079,
45,0.375,0.010988,0.286408,0.052741,-0.079492,0.561853,0.170399,0.343182,0.28685,0.279851,0.279459,0.356534,0.237739,0.320713,0.239049,0.302851,
46,0.383333,0.010876,0.286238,0.052564,-0.079366,0.561732,0.1703,0.34327,0.286808,0.279494,0.279359,0.356335,0.237443,0.320812,0.239031,0.302651,
47,0.391667,0.010772,0.286076,0.052393,-0.079246,0.561614,0.1702,0.343343,0.286812,0.279162,0.279236,0.356171,0.237173,0.320914,0.239052,0.302473,
48,0.4,0.010676,0.285923,0.052226,-0.079133,0.561499,0.170099,0.343397,0.286862,0.278862,0.279091,0.356043,0.236931,0.32102,0.239118,0.302316,
49,0.408333,0.01059,0.285778,0.052064,-0.079028,0.561386,0.169996,0.343436,0.286957,0.278588,0.278927,0.355951,0.236716,0.321131,0.23923,0.302177,
50,0.416667,0.010513,0.285639,0.051908,-0.078929,0.561276,0.169891,0.343466,0.287095,0.278337,0.27875,0.355893,0.236526,0.321244,0.239384,0.302055,
51,0.425,0.010445,0.285506,0.05176,-0.078839,0.56117,0.169782,0.343489,0.287273,0.278106,0.278563,0.355866,0.236356,0.321357,0.239572,0.301946,
52,0.433333,0.010386,0.285378,0.05162,-0.078757,0.561067,0.169673,0.343504,0.287491,0.277897,0.27837,0.355868,0.236204,0.321467,0.239787,0.301856,
53,0.441667,0.010333,0.285256,0.051489,-0.078683,0.560968,0.169563,0.34351,0.287746,0.277719,0.278174,0.355898,0.236067,0.321572,0.240027,0.30179,
54,0.45,0.010288,0.285139,0.051366,-0.078618,0.560874,0.169454,0.34351,0.288039,0.277571,0.277973,0.355957,0.235945,0.321675,0.240292,0.301744,
55,0.458333,0.01025,0.285029,0.051253,-0.078561,0.560786,0.169345,0.343507,0.288372,0.277447,0.277766,0.356046,0.235838,0.32178,0.240584,0.30171,
56,0.466667,0.010219,0.284927,0.051154,-0.078512,0.560706,0.169236,0.343502,0.288748,0.277346,0.277554,0.356167,0.235747,0.32189,0.240904,0.301686,
57,0.475,0.010196,0.284832,0.051068,-0.078471,0.560633,0.169127,0.343497,0.289165,0.277267,0.277336,0.356319,0.235673,0.322004,0.24125,0.301678,
58,0.483333,0.010181,0.284744,0.050996,-0.078437,0.560566,0.16902,0.343493,0.289617,0.27721,0.277115,0.356502,0.235617,0.322121,0.241618,0.301687,
59,0.491667,0.010177,0.284665,0.050938,-0.078408,0.560505,0.168915,0.343494,0.290097,0.277173,0.276896,0.356711,0.235584,0.322241,0.242,0.301707,
60,0.5,0.010185,0.284594,0.050895,-0.078385,0.56045,0.168813,0.343499,0.290598,0.277157,0.276684,0.356943,0.235579,0.322364,0.242387,0.301739,
61,0.508333,0.010207,0.284534,0.050866,-0.078367,0.560401,0.168716,0.34351,0.291112,0.277165,0.276483,0.357193,0.235605,0.322489,0.242773,0.30178,
62,0.516667,0.010244,0.284487,0.050851,-0.078354,0.560359,0.168625,0.34353,0.291639,0.277197,0.276296,0.357458,0.23566,0.322617,0.243155,0.30183,
63,0.525,0.010301,0.284452,0.05085,-0.078346,0.560325,0.168543,0.34356,0.292179,0.277255,0.276122,0.357737,0.235741,0.322751,0.243531,0.301885,
64,0.533333,0.010378,0.28443,0.050863,-0.078342,0.560298,0.168472,0.343601,0.292732,0.27734,0.275961,0.358027,0.235847,0.322895,0.243905,0.301951,
65,0.541667,0.010476,0.284424,0.050891,-0.078343,0.560281,0.168415,0.343654,0.293297,0.277454,0.275811,0.358327,0.235979,0.323047,0.244279,0.302039,
66,0.55,0.010595,0.284433,0.050936,-0.078346,0.560272,0.168375,0.343712,0.293864,0.2776,0.275672,0.358637,0.236136,0.323207,0.244657,0.302156,
67,0.558333,0.010738,0.284458,0.050997,-0.078351,0.560271,0.168355,0.34377,0.29442,0.27778,0.275546,0.358954,0.236322,0.323374,0.245039,0.302306,
68,0.566667,0.010905,0.284499,0.051074,-0.078355,0.560279,0.168355,0.343825,0.294955,0.277995,0.275436,0.359275,0.236541,0.323547,0.245421,0.302493,
69,0.575,0.011098,0.284556,0.051168,-0.078358,0.560294,0.168378,0.343879,0.295458,0.278242,0.275347,0.359596,0.236794,0.323725,0.245795,0.302713,
70,0.583333,0.011317,0.284628,0.05128,-0.078359,0.560316,0.168422,0.343935,0.295918,0.27852,0.275284,0.359915,0.237084,0.323907,0.246154,0.302963,
71,0.591667,0.011562,0.284716,0.051411,-0.078361,0.560346,0.168489,0.343992,0.296319,0.278832,0.275252,0.360227,0.237412,0.324088,0.246489,0.30324,
72,0.6,0.011835,0.284819,0.051562,-0.078362,0.560383,0.168577,0.344052,0.29665,0.279179,0.275258,0.360527,0.237782,0.324268,0.246788,0.303544,
73,0.608333,0.012136,0.284938,0.051733,-0.078363,0.560429,0.168685,0.344117,0.296904,0.27956,0.275305,0.360812,0.238194,0.324445,0.24704,0.30388,
74,0.616667,0.012468,0.285073,0.051926,-0.078364,0.560482,0.168812,0.344192,0.297077,0.279976,0.275397,0.361075,0.238648,0.324621,0.247233,0.304247,
75,0.625,0.012829,0.285225,0.052142,-0.078366,0.560544,0.168956,0.344279,0.297165,0.280424,0.275535,0.36131,0.239142,0.3248,0.247359,0.30464,
76,0.633333,0.013221,0.285394,0.05238,-0.078369,0.560616,0.169116,0.344386,0.297169,0.2809,0.275723,0.361511,0.23968,0.324986,0.24741,0.305061,
77,0.641667,0.013642,0.285581,0.052643,-0.078372,0.560698,0.169294,0.344517,0.29709,0.281405,0.27596,0.361671,0.240263,0.325183,0.24738,0.305508,
78,0.65,0.014092,0.285784,0.052931,-0.078377,0.560792,0.16949,0.344679,0.296924,0.281937,0.276245,0.361786,0.240895,0.325393,0.24726,0.305968,
79,0.658333,0.014572,0.286004,0.053243,-0.078382,0.560899,0.169704,0.344876,0.296668,0.282491,0.27658,0.361848,0.241579,0.325621,0.247039,0.306423,
80,0.666667,0.01508,0.286242,0.05358,-0.078388,0.561018,0.169936,0.345114,0.296317,0.283062,0.276966,0.361847,0.242322,0.32587,0.246707,0.306857,
