Format Version,1.2,Take Name,dir_left_or_bottom_dx_lin,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-03-26 10.25.35.023 AM,Total Frames,1734,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,arm_shoulder,arm_shoulder,arm_shoulder,arm_hand,arm_hand,arm_hand,arm_elbow,arm_elbow,arm_elbow,arm_EE,arm_EE,arm_EE,arm_finger,arm_finger,arm_finger,Marker_119,Marker_119,Marker_119,Marker_125,Marker_125,Marker_125,Marker_123,Marker_123,Marker_123,Marker_129,Marker_129,Marker_129
,,"8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000004","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000002","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000003","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000000","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E3571480B06D800000001","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E357077","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707D","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E35707B","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,0.350000,0.199449,0.204373,0.033627,0.343339,-0.210822,-0.087776,0.267419,-0.091828,0.156026,0.321434,-0.208577,-0.229747,,,,,,,,,,,,,,,
22,0.366667,0.200794,0.204921,0.029203,0.344135,-0.208209,-0.103605,0.272387,-0.094152,0.142816,0.321475,-0.203428,-0.245449,0.329015,-0.246619,-0.208570,,,,,,,,,,,,
23,0.383333,0.201988,0.205374,0.024683,0.344812,-0.205589,-0.119587,0.277046,-0.096275,0.129242,0.321491,-0.198168,-0.261143,0.329568,-0.242012,-0.225281,,,,,,,,,,,,
24,0.400000,0.203099,0.205816,0.020327,0.345316,-0.202863,-0.135598,0.281402,-0.098288,0.115425,0.321437,-0.193086,-0.276850,0.329963,-0.237538,-0.241831,,,,,,,,,,,,
25,0.416667,0.204089,0.206222,0.015989,0.345809,-0.200126,-0.151543,0.285387,-0.100102,0.101366,0.321472,-0.188390,-0.292532,0.330401,-0.233371,-0.258255,,,,,,,,,,,,
26,0.433333,0.204894,0.206717,0.011838,0.346339,-0.197349,-0.167339,0.288910,-0.101694,0.086989,0.321761,-0.184132,-0.308151,0.331140,-0.229448,-0.274423,,,,,,,,,,,,
27,0.450000,0.205482,0.207335,0.007988,0.346940,-0.194836,-0.183049,0.291964,-0.102910,0.072381,0.321969,-0.179896,-0.324262,0.332053,-0.225805,-0.290530,,,,,,,,,,,,
28,0.466667,0.205837,0.208082,0.004387,0.347653,-0.192775,-0.198758,0.294501,-0.103736,0.057620,0.322594,-0.176293,-0.339515,0.332881,-0.222513,-0.306643,,,,,,,,,,,,
29,0.483333,0.206077,0.208830,0.001067,0.348369,-0.191171,-0.214566,0.296539,-0.104254,0.042811,0.322973,-0.173282,-0.354759,0.333271,-0.219834,-0.322579,,,,,,,,,,,,
30,0.500000,0.206167,0.209484,-0.002100,0.348992,-0.189790,-0.230262,0.298197,-0.104397,0.028053,0.322920,-0.170877,-0.370241,0.333194,-0.217779,-0.338931,,,,,,,,,,,,
